sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,740.0,750.0,744.99528,330.712,327.99,33.024861,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,750.0,760.0,755.01288,311.7584,312.87,32.694646,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,760.0,770.0,764.99664,328.2928,338.07,32.649616,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,770.0,780.0,774.94604,319.1172,322.95,31.255423,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,780.0,790.0,784.86132,314.7824,312.87,33.554577,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,790.0,800.0,794.938962,332.352308,326.73,40.909989,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,800.0,810.0,804.98072,315.5884,312.87,36.899282,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,810.0,820.0,814.986231,325.274615,314.13,35.611556,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,820.0,830.0,824.95548,333.0312,343.11,39.687668,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,830.0,840.0,834.888115,330.800769,329.25,36.180123,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,840.0,850.0,844.977846,333.03,336.81,33.694081,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,850.0,860.0,855.029308,318.781154,314.13,28.567686,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,860.0,870.0,865.042308,342.823077,339.33,34.829836,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,870.0,880.0,875.016731,339.430769,330.51,37.946353,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,880.0,890.0,884.952385,334.388462,339.33,33.920111,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,890.0,900.0,895.039037,349.461852,325.47,176.906801,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,900.0,910.0,905.085308,329.831538,336.81,38.153135,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,910.0,920.0,915.090519,311.56,310.35,28.634696,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,920.0,930.0,925.055154,335.163077,336.81,43.807178,26.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,930.0,940.0,934.97837,344.233333,338.07,59.735668,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,940.0,950.0,945.046519,321.174444,320.43,31.157295,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,950.0,960.0,955.071815,335.178519,338.07,34.538075,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,960.0,970.0,965.053815,324.069259,327.99,28.072637,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,970.0,980.0,974.992481,308.292222,305.3,38.448016,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,980.0,990.0,984.887556,316.694815,315.39,36.984436,27.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,990.0,1000.0,994.920964,319.078214,324.21,32.233485,28.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,1000.0,1010.0,1005.09,319.886786,319.17,31.534812,28.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,1010.0,1020.0,1015.031556,324.908519,327.99,30.155751,27.0
