relative_path,environment,sample_id,condition,role,filter_label,wavelength_nm,raw_intensity,reflectance
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,877.888,307.51,-0.912139
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,880.946,322.63,-1.268536
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,884.0,330.2,-0.914062
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,887.051,310.03,-0.977455
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,890.098,362.96,-0.931127
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,893.141,1035.96,-0.814948
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,896.18,302.47,-0.84059
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,899.216,360.44,-1.263468
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,902.248,385.65,-0.789791
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,905.276,284.83,-1.019614
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,908.301,357.92,-0.871972
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,911.321,332.72,-0.711175
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,914.339,322.63,-1.839494
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,917.352,327.67,-1.245425
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,920.362,390.69,-0.596062
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,923.368,315.07,-0.898688
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,926.37,302.47,-1.2048
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,929.368,315.07,-1.715157
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,932.363,267.18,-4.643181
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,935.354,304.99,-0.663031
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,938.341,289.87,-0.6486
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,941.324,332.72,-61.170213
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,944.304,345.32,-0.313032
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,947.28,315.07,-0.443757
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,950.252,304.99,8.773523
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,953.22,317.59,-1.021417
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,956.185,315.07,-0.277479
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,959.146,287.35,0.07056
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,962.102,332.72,0.006957
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,965.056,332.72,-0.527184
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,968.005,216.77,-1.351463
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,970.95,279.78,89.605096
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,973.892,370.52,0.121768
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,976.83,287.35,2.07856
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,979.764,327.67,-1.070886
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,982.694,368.0,0.324608
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,985.621,297.43,-1.442398
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,988.543,365.48,0.890231
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,991.462,312.55,-0.333964
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,994.377,370.52,-2.485078
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,997.288,289.87,-1.08585
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1000.195,307.51,-0.727167
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1003.098,310.03,0.203735
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1005.998,304.99,0.15634
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1008.893,315.07,-2.827351
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1011.785,345.32,0.5
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1014.673,241.98,-3.136582
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,1017.557,307.51,1.224041
